,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
0,planet earth ii,9.4,2016,"David Attenborough, Chadden Hunter",2016,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Tv Show,Netflix
1,breaking bad,9.4,2008,"Bryan Cranston, Aaron Paul",2013,5 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Tv Show,Netflix
2,blue planet ii,9.2,2017,"David Attenborough, Peter Drost",2017,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Tv Show,Netflix
3,avatar: the last airbender,9.2,2005,"Dee Bradley Baker, Zach Tyler Eisen",2007,3 Seasons,"Classic & Cult TV, Kids' TV, TV Action & Adventure",Tv Show,Netflix
4,our planet,9.2,2019,David Attenborough,2019,1 Season,"Docuseries, Science & Nature TV",Tv Show,Netflix
5,fullmetal alchemist: brotherhood,9.1,2009,"Kent Williams, Iemasa Kayumi",2010,5 Seasons,"Anime Series, International TV Shows",Tv Show,Netflix
6,the last dance,9.0,2020,"Michael Jordan, Phil Jackson",2020,1 Season,Docuseries,Tv Show,Netflix
7,life,9.0,2009,"Oprah Winfrey, David Attenborough",2018,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Tv Show,Netflix
8,sherlock,9.0,2010,"Benedict Cumberbatch, Martin Freeman",2017,4 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Tv Show,Netflix
9,attack on titan,8.9,2013,"Josh Grelle, YÃ»ki Kaji",2013,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
10,frozen planet,8.9,2011,"David Attenborough, Alec Baldwin",2011,1 Season,"British TV Shows, Docuseries, International TV Shows",Tv Show,Netflix
11,death note,8.9,2006,"Mamoru Miyano, Brad Swaile",2017,100 min,"Horror Movies, Thrillers",Tv Show,Netflix
12,death note,8.9,2006,"Mamoru Miyano, Brad Swaile",2006,1 Season,"Anime Series, Crime TV Shows, International TV Shows",Tv Show,Netflix
13,persona,8.9,2018,"Haluk Bilginer, Cansu Dere",2019,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Tv Show,Netflix
14,friends,8.8,1994,"Jennifer Aniston, Courteney Cox",2003,10 Seasons,"Classic & Cult TV, TV Comedies",Tv Show,Netflix
15,when they see us,8.8,2019,"Asante Blackk, Caleel Harris",2019,1 Season,"Crime TV Shows, TV Dramas",Tv Show,Netflix
16,africa,8.8,2013,"David Attenborough, Simon Blakeney",2013,1 Season,"British TV Shows, Docuseries, International TV Shows",Tv Show,Netflix
17,monty python's flying circus,8.8,1969,"Graham Chapman, John Cleese",1974,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",Tv Show,Netflix
18,better call saul,8.8,2015,"Bob Odenkirk, Rhea Seehorn",2018,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Tv Show,Netflix
19,the west wing,8.8,1999,"Martin Sheen, Rob Lowe",2005,7 Seasons,TV Dramas,Tv Show,Netflix
