Title,Rating,Year,Director
fargo,8.9,2014,"Billy Bob Thornton, Martin Freeman"
clarkson's farm,8.9,2021,"Jeremy Clarkson, Kaleb Cooper"
dekalog,8.9,1989,"Artur Barcis, Olgierd Lukaszewicz"
cowboy bebop,8.9,1998,"Kôichi Yamadera, Unshô Ishizuka"
friends,8.8,1994,"Jennifer Aniston, Courteney Cox"
when they see us,8.8,2019,"Asante Blackk, Caleel Harris"
gravity falls,8.8,2012,"Jason Ritter, Alex Hirsch"
nathan for you,8.8,2013,"Nathan Fielder, Anthony Filosa"
last week tonight with john oliver,8.8,2014,"John Oliver, David Kaye"
africa,8.8,2013,"David Attenborough, Simon Blakeney"
monty python's flying circus,8.8,1969,"Graham Chapman, John Cleese"
apocalypse: the second world war,8.8,2009,"Mathieu Kassovitz, Martin Sheen"
tvf pitchers,8.8,2015,"Naveen Kasturia, Arunabh Kumar"
better call saul,8.8,2015,"Bob Odenkirk, Rhea Seehorn"
it's always sunny in philadelphia,8.8,2005,"Charlie Day, Rob McElhenney"
taskmaster,8.8,2015,"Greg Davies, Alex Horne"
das boot,8.8,1985,"Jürgen Prochnow, Herbert Grönemeyer"
curb your enthusiasm,8.8,2000,"Larry David, Cheryl Hines"
pride and prejudice,8.8,1995,"Colin Firth, Jennifer Ehle"
fawlty towers,8.8,1975,"John Cleese, Prunella Scales"
freaks and geeks,8.8,1999,"Linda Cardellini, John Francis Daley"
the west wing,8.8,1999,"Martin Sheen, Rob Lowe"
leyla and mecnun,8.7,2011,"Ali Atay, Serkan Keskin"
blackadder goes forth,8.7,1989,"Rowan Atkinson, Tony Robinson"
twin peaks,8.7,1990,"Kyle MacLachlan, Michael Ontkean"
black mirror,8.7,2011,"Daniel Lapaine, Hannah John-Kamen"
narcos,8.7,2015,"Pedro Pascal, Wagner Moura"
chappelle's show,8.7,2003,"Dave Chappelle, Donnell Rawlings"
bojack horseman,8.7,2014,"Will Arnett, Amy Sedaris"
dragon ball z,8.7,1989,"Doc Harris, Christopher Sabat"
succession,8.7,2018,"Nicholas Braun, Peter Friedman"
dragon ball z,8.7,1989,"Jôji Yanami, Kyle Hebert"
"i, claudius",8.7,1976,"Derek Jacobi, John Hurt"
peaky blinders,8.7,2013,"Cillian Murphy, Paul Anderson"
south park,8.7,1997,"Trey Parker, Matt Stone"
rome,8.7,2005,"Kevin McKidd, Ray Stevenson"
ted lasso,8.7,2020,"Jason Sudeikis, Brett Goldstein"
oz,8.7,1997,"Ernie Hudson, J.K. Simmons"
six feet under,8.7,2001,"Peter Krause, Michael C. Hall"
one piece,8.7,1999,"Mayumi Tanaka, Laurent Vernin"
over the garden wall,8.7,2014,"Elijah Wood, Collin Dean"
dark,8.7,2017,"Louis Hofmann, Karoline Eichhorn"
the mandalorian,8.7,2019,"Pedro Pascal, Carl Weathers"
kota factory,8.7,2019,"Mayur More, Jitendra Kumar"
arrested development,8.7,2003,"Jason Bateman, Michael Cera"
steins;gate,8.7,2011,"Mamoru Miyano, Asami Imai"
one punch man,8.7,2015,"Makoto Furukawa, Kaito Ishikawa"
the simpsons,8.7,1989,"Dan Castellaneta, Nancy Cartwright"
as if,8.7,2021,"Feyyaz Yigit, Kivanç Kilinç"
the boys,8.7,2019,"Karl Urban, Jack Quaid"
house m.d.,8.7,2004,"Hugh Laurie, Omar Epps"
stranger things,8.7,2016,"Millie Bobby Brown, Finn Wolfhard"
the shield,8.7,2002,"Michael Chiklis, Jay Karnes"
battlestar galactica,8.6,2004,"Edward James Olmos, Mary McDonnell"
fleabag,8.6,2016,"Phoebe Waller-Bridge, Sian Clifford"
downton abbey,8.6,2010,"Hugh Bonneville, Phyllis Logan"
invincible,8.6,2021,"Steven Yeun, J.K. Simmons"
mad men,8.6,2007,"Jon Hamm, Elisabeth Moss"
house of cards,8.6,2013,"Kevin Spacey, Michel Gill"
vinland saga,8.6,2019,"Kira Buckland, J. Michael Tatum"
the marvelous mrs. maisel,8.6,2017,"Rachel Brosnahan, Alex Borstein"
the crown,8.6,2016,"Claire Foy, Olivia Colman"
star trek: the next generation,8.6,1987,"Patrick Stewart, Brent Spiner"
